RIC,Trade Date,Open Price,High Price,Low Price,Universal Close Price,Volume
EUR=,2016-08-24,"-9,999,401","-9,999,401","-9,999,401","-9,999,401",
EUR=,2016-08-23,1.1318,1.1354,1.1299,1.1303,
EUR=,2016-08-22,1.1302,1.133,1.1269,1.1315,
EUR=,2016-08-19,1.135,1.1362,1.1302,1.1325,
EUR=,2016-08-18,1.1291,1.1365,1.1281,1.1352,
EUR=,2016-08-17,1.1276,1.1315,1.1239,1.1286,
EUR=,2016-08-16,1.118,1.1322,1.1173,1.1276,
EUR=,2016-08-15,1.1161,1.1202,1.1152,1.1183,
EUR=,2016-08-12,1.1136,1.1221,1.1127,1.1158,
EUR=,2016-08-11,1.1173,1.1192,1.1131,1.1135,
EUR=,2016-08-10,1.1115,1.119,1.11,1.1174,
EUR=,2016-08-09,1.1087,1.1122,1.1067,1.1117,
EUR=,2016-08-08,1.1085,1.1105,1.107,1.109,
EUR=,2016-08-05,1.1127,1.1162,1.1043,1.1085,
EUR=,2016-08-04,1.1147,1.1156,1.1112,1.1128,
EUR=,2016-08-03,1.1222,1.1231,1.1137,1.1147,
EUR=,2016-08-02,1.116,1.1233,1.1153,1.1225,
EUR=,2016-08-01,1.1173,1.1183,1.1153,1.1159,
EUR=,2016-07-29,1.1075,1.1197,1.1067,1.117,
EUR=,2016-07-28,1.1056,1.1118,1.1047,1.1074,
EUR=,2016-07-27,1.0982,1.1064,1.0959,1.1055,
EUR=,2016-07-26,1.0995,1.1029,1.0976,1.0986,
EUR=,2016-07-25,1.0968,1.0998,1.095,1.099,
EUR=,2016-07-22,1.1027,1.104,1.0951,1.0973,
EUR=,2016-07-21,1.1011,1.1058,1.0979,1.1023,
EUR=,2016-07-20,1.1018,1.103,1.0979,1.1013,
EUR=,2016-07-19,1.1072,1.1085,1.0998,1.1021,
EUR=,2016-07-18,1.104,1.1083,1.1035,1.1071,
EUR=,2016-07-15,1.1116,1.1148,1.1021,1.1034,
EUR=,2016-07-14,1.1087,1.1164,1.1083,1.1118,
EUR=,2016-07-13,1.1059,1.1119,1.1041,1.1088,
EUR=,2016-07-12,1.1056,1.1125,1.1048,1.1057,
EUR=,2016-07-11,1.105,1.1074,1.1014,1.1056,
EUR=,2016-07-08,1.106,1.1112,1.0999,1.1052,
EUR=,2016-07-07,1.1097,1.1109,1.1049,1.1059,
EUR=,2016-07-06,1.1074,1.1111,1.1029,1.1099,
EUR=,2016-07-05,1.1153,1.1183,1.1058,1.1075,
EUR=,2016-07-04,1.114,1.1164,1.1095,1.1154,
EUR=,2016-07-01,1.1103,1.1168,1.1069,1.1135,
EUR=,2016-06-30,1.1123,1.1155,1.1022,1.1104,
EUR=,2016-06-29,1.1063,1.1129,1.1046,1.1123,
EUR=,2016-06-28,1.1024,1.111,1.1006,1.1065,
EUR=,2016-06-27,1.1068,1.1083,1.0968,1.1022,
EUR=,2016-06-24,1.139,1.1432,1.0909,1.1115,
EUR=,2016-06-23,1.1294,1.1421,1.1293,1.1385,
EUR=,2016-06-22,1.124,1.1337,1.1234,1.1295,
EUR=,2016-06-21,1.131,1.1349,1.1239,1.124,
EUR=,2016-06-20,1.1281,1.1382,1.128,1.131,
EUR=,2016-06-17,1.1223,1.1296,1.1218,1.1274,
EUR=,2016-06-16,1.1257,1.1295,1.1129,1.1223,
EUR=,2016-06-15,1.1203,1.1297,1.1188,1.1257,
EUR=,2016-06-14,1.1291,1.1302,1.1186,1.1206,
EUR=,2016-06-13,1.1251,1.1302,1.1231,1.129,
EUR=,2016-06-10,1.1315,1.1327,1.1243,1.1249,
EUR=,2016-06-09,1.1397,1.1415,1.1303,1.1314,
EUR=,2016-06-08,1.1356,1.141,1.1347,1.1392,
EUR=,2016-06-07,1.1353,1.138,1.1336,1.1356,
EUR=,2016-06-06,1.1349,1.1392,1.1325,1.1351,
EUR=,2016-06-03,1.115,1.1375,1.1134,1.1365,
EUR=,2016-06-02,1.1187,1.1219,1.114,1.1149,
EUR=,2016-06-01,1.113,1.1195,1.1111,1.1185,
EUR=,2016-05-31,1.1135,1.1173,1.112,1.1129,
EUR=,2016-05-30,1.1114,1.1146,1.1096,1.1144,
EUR=,2016-05-27,1.1192,1.12,1.1106,1.1114,
EUR=,2016-05-26,1.1152,1.1216,1.1142,1.1192,
EUR=,2016-05-25,1.1139,1.1167,1.1126,1.1153,
EUR=,2016-05-24,1.1218,1.1227,1.1129,1.114,
