Symbol,Bid,Ask,Last,Volume,Date,Time
CAD=,1.313,1.3134,1.313,4136.0,2016-08-02,1:19:52:0
CAD=,1.313,1.3137,1.313,4137.0,2016-08-02,1:20:0:0
CAD=,1.3132,1.3133,1.3132,4138.0,2016-08-02,1:20:1:0
CAD=,1.3133,1.3137,1.3133,4139.0,2016-08-02,1:20:1:0
CAD=,1.3133,1.3138,1.3133,4140.0,2016-08-02,1:20:1:0
CAD=,1.3133,1.3137,1.3133,4141.0,2016-08-02,1:20:2:0
CAD=,1.3132,1.3134,1.3132,4142.0,2016-08-02,1:20:3:0
CAD=,1.3133,1.3137,1.3133,4143.0,2016-08-02,1:20:3:0
CAD=,1.3132,1.3138,1.3132,4144.0,2016-08-02,1:20:8:0
CAD=,1.3132,1.3138,1.3132,4145.0,2016-08-02,1:20:13:0
CAD=,1.3133,1.3137,1.3133,4146.0,2016-08-02,1:20:14:0
CAD=,1.3131,1.3136,1.3131,4147.0,2016-08-02,1:20:15:0
CAD=,1.3133,1.3137,1.3133,4148.0,2016-08-02,1:20:18:0
CAD=,1.3133,1.3137,1.3133,4149.0,2016-08-02,1:20:19:0
CAD=,1.3131,1.3138,1.3131,4150.0,2016-08-02,1:20:20:0
CAD=,1.3133,1.3137,1.3133,4151.0,2016-08-02,1:20:22:0
CAD=,1.3133,1.3137,1.3133,4152.0,2016-08-02,1:20:23:0
CAD=,1.3133,1.3137,1.3133,4153.0,2016-08-02,1:20:24:0
CAD=,1.3133,1.3137,1.3133,4154.0,2016-08-02,1:20:24:0
CAD=,1.3133,1.3137,1.3133,4155.0,2016-08-02,1:20:25:0
CAD=,1.3133,1.3137,1.3133,4156.0,2016-08-02,1:20:29:0
CAD=,1.3133,1.3139,1.3133,4157.0,2016-08-02,1:20:30:0
CAD=,1.3133,1.3137,1.3133,4158.0,2016-08-02,1:20:32:0
CAD=,1.3133,1.3137,1.3133,4159.0,2016-08-02,1:20:33:0
CAD=,1.3133,1.3137,1.3133,4160.0,2016-08-02,1:20:35:0
CAD=,1.3133,1.3137,1.3133,4161.0,2016-08-02,1:20:36:0
CAD=,1.3133,1.3137,1.3133,4162.0,2016-08-02,1:20:37:0
CAD=,1.3131,1.3138,1.3131,4163.0,2016-08-02,1:20:40:0
CAD=,1.3131,1.3138,1.3131,4164.0,2016-08-02,1:20:41:0
CAD=,1.3132,1.3138,1.3132,4165.0,2016-08-02,1:20:42:0
CAD=,1.3133,1.3137,1.3133,4166.0,2016-08-02,1:20:44:0
CAD=,1.3131,1.3136,1.3131,4167.0,2016-08-02,1:20:45:0
CAD=,1.3133,1.3137,1.3133,4168.0,2016-08-02,1:20:45:0
CAD=,1.3134,1.3138,1.3134,4169.0,2016-08-02,1:20:46:0
CAD=,1.3134,1.3138,1.3134,4170.0,2016-08-02,1:20:50:0
CAD=,1.3134,1.3138,1.3134,4171.0,2016-08-02,1:20:51:0
CAD=,1.3134,1.3138,1.3134,4172.0,2016-08-02,1:20:51:0
CAD=,1.3133,1.3139,1.3133,4173.0,2016-08-02,1:20:52:0
CAD=,1.3134,1.3138,1.3134,4174.0,2016-08-02,1:20:52:0
CAD=,1.3133,1.3137,1.3133,4175.0,2016-08-02,1:20:53:0
CAD=,1.3134,1.3138,1.3134,4176.0,2016-08-02,1:20:56:0
CAD=,1.3132,1.3139,1.3132,4177.0,2016-08-02,1:21:0:0
CAD=,1.3134,1.3138,1.3134,4178.0,2016-08-02,1:21:0:0
CAD=,1.3133,1.3138,1.3133,4179.0,2016-08-02,1:21:1:0
CAD=,1.3135,1.3136,1.3135,4180.0,2016-08-02,1:21:1:0
CAD=,1.3134,1.314,1.3134,4181.0,2016-08-02,1:21:2:0
CAD=,1.3134,1.3138,1.3134,4182.0,2016-08-02,1:21:4:0
CAD=,1.3134,1.314,1.3134,4183.0,2016-08-02,1:21:4:0
CAD=,1.3134,1.3138,1.3134,4184.0,2016-08-02,1:21:8:0
CAD=,1.3133,1.3138,1.3133,4185.0,2016-08-02,1:21:15:0
CAD=,1.3135,1.3139,1.3135,4186.0,2016-08-02,1:21:15:0
CAD=,1.3135,1.3139,1.3135,4187.0,2016-08-02,1:21:16:0
CAD=,1.3133,1.314,1.3133,4188.0,2016-08-02,1:21:20:0
CAD=,1.3135,1.3139,1.3135,4189.0,2016-08-02,1:21:20:0
CAD=,1.3133,1.314,1.3133,4190.0,2016-08-02,1:21:20:0
CAD=,1.3135,1.3139,1.3135,4191.0,2016-08-02,1:21:24:0
CAD=,1.3135,1.3139,1.3135,4192.0,2016-08-02,1:21:28:0
CAD=,1.3134,1.3138,1.3134,4193.0,2016-08-02,1:21:32:0
CAD=,1.3133,1.3139,1.3133,4194.0,2016-08-02,1:21:34:0
CAD=,1.3134,1.3138,1.3134,4195.0,2016-08-02,1:21:36:0
CAD=,1.3133,1.3139,1.3133,4196.0,2016-08-02,1:21:37:0
CAD=,1.3134,1.3138,1.3134,4197.0,2016-08-02,1:21:40:0
CAD=,1.3132,1.3139,1.3132,4198.0,2016-08-02,1:21:40:0
CAD=,1.3133,1.3138,1.3133,4199.0,2016-08-02,1:21:45:0
CAD=,1.3134,1.3138,1.3134,4200.0,2016-08-02,1:21:46:0
CAD=,1.3134,1.3138,1.3134,4201.0,2016-08-02,1:21:47:0
CAD=,1.3134,1.3138,1.3134,4202.0,2016-08-02,1:21:48:0
CAD=,1.3134,1.3138,1.3134,4203.0,2016-08-02,1:21:53:0
CAD=,1.3134,1.3138,1.3134,4204.0,2016-08-02,1:21:56:0
CAD=,1.3134,1.3141,1.3134,4205.0,2016-08-02,1:22:0:0
CAD=,1.3135,1.3139,1.3135,4206.0,2016-08-02,1:22:0:0
CAD=,1.3137,1.3138,1.3137,4207.0,2016-08-02,1:22:1:0
CAD=,1.3136,1.314,1.3136,4208.0,2016-08-02,1:22:4:0
CAD=,1.3136,1.3141,1.3136,4209.0,2016-08-02,1:22:5:0
CAD=,1.3137,1.3143,1.3137,4210.0,2016-08-02,1:22:6:0
CAD=,1.3136,1.314,1.3136,4211.0,2016-08-02,1:22:8:0
CAD=,1.3137,1.3138,1.3137,4212.0,2016-08-02,1:22:9:0
CAD=,1.3137,1.3138,1.3137,4213.0,2016-08-02,1:22:11:0
CAD=,1.3135,1.3139,1.3135,4214.0,2016-08-02,1:22:12:0
CAD=,1.3134,1.3139,1.3134,4215.0,2016-08-02,1:22:15:0
CAD=,1.3135,1.3141,1.3135,4216.0,2016-08-02,1:22:18:0
CAD=,1.3135,1.3141,1.3135,4217.0,2016-08-02,1:22:24:0
CAD=,1.3136,1.314,1.3136,4218.0,2016-08-02,1:22:34:0
CAD=,1.3136,1.314,1.3136,4219.0,2016-08-02,1:22:35:0
CAD=,1.3136,1.314,1.3136,4220.0,2016-08-02,1:22:37:0
CAD=,1.3136,1.314,1.3136,4221.0,2016-08-02,1:22:38:0
CAD=,1.3136,1.314,1.3136,4222.0,2016-08-02,1:22:42:0
CAD=,1.3134,1.3141,1.3134,4223.0,2016-08-02,1:22:42:0
CAD=,1.3136,1.314,1.3136,4224.0,2016-08-02,1:22:43:0
CAD=,1.3136,1.314,1.3136,4225.0,2016-08-02,1:22:44:0
