Symbol,Bid,Ask,Last,Volume,Date,Time
EUR=,1.1164,1.1168,1.1164,8532.0,2016-08-02,1:19:52:0
EUR=,1.1164,1.1168,1.1164,8533.0,2016-08-02,1:20:0:0
EUR=,1.1166,1.1167,1.1166,8534.0,2016-08-02,1:20:1:0
EUR=,1.1166,1.1167,1.1166,8535.0,2016-08-02,1:20:2:0
EUR=,1.1166,1.1167,1.1166,8536.0,2016-08-02,1:20:3:0
EUR=,1.1166,1.1167,1.1166,8537.0,2016-08-02,1:20:3:0
EUR=,1.1165,1.1167,1.1165,8538.0,2016-08-02,1:20:6:0
EUR=,1.1166,1.1167,1.1166,8539.0,2016-08-02,1:20:9:0
EUR=,1.1166,1.1167,1.1166,8540.0,2016-08-02,1:20:11:0
EUR=,1.1164,1.1166,1.1164,8541.0,2016-08-02,1:20:12:0
EUR=,1.1164,1.1166,1.1164,8542.0,2016-08-02,1:20:15:0
EUR=,1.1164,1.1166,1.1164,8543.0,2016-08-02,1:20:16:0
EUR=,1.1164,1.1168,1.1164,8544.0,2016-08-02,1:20:23:0
EUR=,1.1162,1.1165,1.1162,8545.0,2016-08-02,1:20:23:0
EUR=,1.1163,1.1165,1.1163,8546.0,2016-08-02,1:20:25:0
EUR=,1.1162,1.1165,1.1162,8547.0,2016-08-02,1:20:26:0
EUR=,1.1165,1.1168,1.1165,8548.0,2016-08-02,1:20:30:0
EUR=,1.1166,1.1168,1.1166,8549.0,2016-08-02,1:20:31:0
EUR=,1.1165,1.1168,1.1165,8550.0,2016-08-02,1:20:31:0
EUR=,1.1165,1.1168,1.1165,8551.0,2016-08-02,1:20:32:0
EUR=,1.1165,1.1169,1.1165,8552.0,2016-08-02,1:20:32:0
EUR=,1.1164,1.1168,1.1164,8553.0,2016-08-02,1:20:32:0
EUR=,1.1164,1.1167,1.1164,8554.0,2016-08-02,1:20:32:0
EUR=,1.1164,1.1168,1.1164,8555.0,2016-08-02,1:20:33:0
EUR=,1.1165,1.1169,1.1165,8556.0,2016-08-02,1:20:34:0
EUR=,1.1165,1.1169,1.1165,8557.0,2016-08-02,1:20:39:0
EUR=,1.1164,1.1168,1.1164,8558.0,2016-08-02,1:20:57:0
EUR=,1.1164,1.1168,1.1164,8559.0,2016-08-02,1:20:58:0
EUR=,1.1164,1.1168,1.1164,8560.0,2016-08-02,1:20:59:0
EUR=,1.1165,1.1166,1.1165,8561.0,2016-08-02,1:21:1:0
EUR=,1.1164,1.1168,1.1164,8562.0,2016-08-02,1:21:2:0
EUR=,1.1164,1.1167,1.1164,8563.0,2016-08-02,1:21:2:0
EUR=,1.1164,1.1167,1.1164,8564.0,2016-08-02,1:21:3:0
EUR=,1.1164,1.1167,1.1164,8565.0,2016-08-02,1:21:7:0
EUR=,1.1162,1.1166,1.1162,8566.0,2016-08-02,1:21:11:0
EUR=,1.1163,1.1167,1.1163,8567.0,2016-08-02,1:21:12:0
EUR=,1.1164,1.1166,1.1164,8568.0,2016-08-02,1:21:13:0
EUR=,1.1164,1.1166,1.1164,8569.0,2016-08-02,1:21:15:0
EUR=,1.1163,1.1167,1.1163,8570.0,2016-08-02,1:21:16:0
EUR=,1.1163,1.1167,1.1163,8571.0,2016-08-02,1:21:17:0
EUR=,1.1165,1.1167,1.1165,8572.0,2016-08-02,1:21:19:0
EUR=,1.1165,1.1167,1.1165,8573.0,2016-08-02,1:21:20:0
EUR=,1.1163,1.1167,1.1163,8574.0,2016-08-02,1:21:21:0
EUR=,1.1163,1.1167,1.1163,8575.0,2016-08-02,1:21:23:0
EUR=,1.1163,1.1167,1.1163,8576.0,2016-08-02,1:21:25:0
EUR=,1.1164,1.1167,1.1164,8577.0,2016-08-02,1:21:30:0
EUR=,1.1164,1.1167,1.1164,8578.0,2016-08-02,1:21:30:0
EUR=,1.1163,1.1167,1.1163,8579.0,2016-08-02,1:21:32:0
EUR=,1.1163,1.1167,1.1163,8580.0,2016-08-02,1:21:34:0
EUR=,1.1163,1.1167,1.1163,8581.0,2016-08-02,1:21:38:0
EUR=,1.1163,1.1167,1.1163,8582.0,2016-08-02,1:21:40:0
EUR=,1.1163,1.1167,1.1163,8583.0,2016-08-02,1:21:47:0
EUR=,1.1163,1.1167,1.1163,8584.0,2016-08-02,1:21:51:0
EUR=,1.1165,1.1166,1.1165,8585.0,2016-08-02,1:22:1:0
EUR=,1.1165,1.1166,1.1165,8586.0,2016-08-02,1:22:2:0
EUR=,1.1163,1.1167,1.1163,8587.0,2016-08-02,1:22:3:0
EUR=,1.1163,1.1167,1.1163,8588.0,2016-08-02,1:22:4:0
EUR=,1.1162,1.1166,1.1162,8589.0,2016-08-02,1:22:5:0
EUR=,1.1162,1.1166,1.1162,8590.0,2016-08-02,1:22:5:0
EUR=,1.1162,1.1166,1.1162,8591.0,2016-08-02,1:22:5:0
EUR=,1.1163,1.1166,1.1163,8592.0,2016-08-02,1:22:6:0
EUR=,1.1163,1.1166,1.1163,8593.0,2016-08-02,1:22:8:0
EUR=,1.1165,1.1166,1.1165,8594.0,2016-08-02,1:22:9:0
EUR=,1.1163,1.1167,1.1163,8595.0,2016-08-02,1:22:9:0
EUR=,1.1163,1.1167,1.1163,8596.0,2016-08-02,1:22:10:0
EUR=,1.1163,1.1167,1.1163,8597.0,2016-08-02,1:22:10:0
EUR=,1.1164,1.1168,1.1164,8598.0,2016-08-02,1:22:12:0
EUR=,1.1164,1.1168,1.1164,8599.0,2016-08-02,1:22:14:0
EUR=,1.1164,1.1168,1.1164,8600.0,2016-08-02,1:22:16:0
EUR=,1.1165,1.1168,1.1165,8601.0,2016-08-02,1:22:18:0
EUR=,1.1165,1.1168,1.1165,8602.0,2016-08-02,1:22:21:0
EUR=,1.1166,1.1168,1.1166,8603.0,2016-08-02,1:22:21:0
EUR=,1.1166,1.1168,1.1166,8604.0,2016-08-02,1:22:24:0
EUR=,1.1164,1.1168,1.1164,8605.0,2016-08-02,1:22:26:0
EUR=,1.1164,1.1168,1.1164,8606.0,2016-08-02,1:22:26:0
EUR=,1.1164,1.1168,1.1164,8607.0,2016-08-02,1:22:27:0
EUR=,1.1163,1.1166,1.1163,8608.0,2016-08-02,1:22:30:0
EUR=,1.1164,1.1166,1.1164,8609.0,2016-08-02,1:22:31:0
EUR=,1.1164,1.1166,1.1164,8610.0,2016-08-02,1:22:32:0
EUR=,1.1164,1.1168,1.1164,8611.0,2016-08-02,1:22:32:0
EUR=,1.1164,1.1168,1.1164,8612.0,2016-08-02,1:22:33:0
EUR=,1.1164,1.1168,1.1164,8613.0,2016-08-02,1:22:35:0
EUR=,1.1165,1.1167,1.1165,8614.0,2016-08-02,1:22:35:0
EUR=,1.1164,1.1168,1.1164,8615.0,2016-08-02,1:22:36:0
EUR=,1.1164,1.1168,1.1164,8616.0,2016-08-02,1:22:37:0
EUR=,1.1164,1.1168,1.1164,8617.0,2016-08-02,1:22:37:0
EUR=,1.1164,1.1168,1.1164,8618.0,2016-08-02,1:22:38:0
EUR=,1.1164,1.1167,1.1164,8619.0,2016-08-02,1:22:38:0
EUR=,1.1162,1.1166,1.1162,8620.0,2016-08-02,1:22:40:0
EUR=,1.1163,1.1165,1.1163,8621.0,2016-08-02,1:22:43:0
EUR=,1.1162,1.1166,1.1162,8622.0,2016-08-02,1:22:43:0
