Symbol,Bid,Ask,Last,Volume,Date,Time
EURGBP=R,0.8466,0.8471,0.8466,17366.0,2016-08-02,1:19:53:0
EURGBP=R,0.8465,0.8472,0.8465,17367.0,2016-08-02,1:19:57:0
EURGBP=R,0.8466,0.8471,0.8466,17368.0,2016-08-02,1:19:57:0
EURGBP=R,0.8466,0.847,0.8466,17369.0,2016-08-02,1:19:58:0
EURGBP=R,0.8466,0.847,0.8466,17370.0,2016-08-02,1:20:0:0
EURGBP=R,0.8466,0.8472,0.8466,17371.0,2016-08-02,1:20:0:0
EURGBP=R,0.8466,0.8472,0.8466,17372.0,2016-08-02,1:20:0:0
EURGBP=R,0.8467,0.8471,0.8467,17373.0,2016-08-02,1:20:1:0
EURGBP=R,0.8468,0.847,0.8468,17374.0,2016-08-02,1:20:1:0
EURGBP=R,0.8466,0.847,0.8466,17375.0,2016-08-02,1:20:1:0
EURGBP=R,0.8466,0.847,0.8466,17376.0,2016-08-02,1:20:2:0
EURGBP=R,0.8467,0.8471,0.8467,17377.0,2016-08-02,1:20:2:0
EURGBP=R,0.8468,0.8471,0.8468,17378.0,2016-08-02,1:20:3:0
EURGBP=R,0.8468,0.8471,0.8468,17379.0,2016-08-02,1:20:3:0
EURGBP=R,0.8468,0.8471,0.8468,17380.0,2016-08-02,1:20:3:0
EURGBP=R,0.8468,0.8471,0.8468,17381.0,2016-08-02,1:20:3:0
EURGBP=R,0.8468,0.8471,0.8468,17382.0,2016-08-02,1:20:6:0
EURGBP=R,0.8467,0.8471,0.8467,17383.0,2016-08-02,1:20:6:0
EURGBP=R,0.8466,0.8471,0.8466,17384.0,2016-08-02,1:20:7:0
EURGBP=R,0.8466,0.8471,0.8466,17385.0,2016-08-02,1:20:8:0
EURGBP=R,0.8467,0.8471,0.8467,17386.0,2016-08-02,1:20:9:0
EURGBP=R,0.8467,0.8471,0.8467,17387.0,2016-08-02,1:20:11:0
EURGBP=R,0.8467,0.847,0.8467,17388.0,2016-08-02,1:20:11:0
EURGBP=R,0.8466,0.8469,0.8466,17389.0,2016-08-02,1:20:12:0
EURGBP=R,0.8466,0.8469,0.8466,17390.0,2016-08-02,1:20:14:0
EURGBP=R,0.8466,0.847,0.8466,17391.0,2016-08-02,1:20:15:0
EURGBP=R,0.8466,0.847,0.8466,17392.0,2016-08-02,1:20:15:0
EURGBP=R,0.8466,0.847,0.8466,17393.0,2016-08-02,1:20:16:0
EURGBP=R,0.8466,0.847,0.8466,17394.0,2016-08-02,1:20:16:0
EURGBP=R,0.8466,0.847,0.8466,17395.0,2016-08-02,1:20:17:0
EURGBP=R,0.8465,0.8471,0.8465,17396.0,2016-08-02,1:20:20:0
EURGBP=R,0.8466,0.847,0.8466,17397.0,2016-08-02,1:20:21:0
EURGBP=R,0.8465,0.847,0.8465,17398.0,2016-08-02,1:20:21:0
EURGBP=R,0.8466,0.847,0.8466,17399.0,2016-08-02,1:20:22:0
EURGBP=R,0.8465,0.8471,0.8465,17400.0,2016-08-02,1:20:23:0
EURGBP=R,0.8465,0.8472,0.8465,17401.0,2016-08-02,1:20:23:0
EURGBP=R,0.8466,0.8472,0.8466,17402.0,2016-08-02,1:20:23:0
EURGBP=R,0.8464,0.8469,0.8464,17403.0,2016-08-02,1:20:23:0
EURGBP=R,0.8465,0.8469,0.8465,17404.0,2016-08-02,1:20:25:0
EURGBP=R,0.8464,0.8469,0.8464,17405.0,2016-08-02,1:20:26:0
EURGBP=R,0.8464,0.8469,0.8464,17406.0,2016-08-02,1:20:29:0
EURGBP=R,0.8464,0.8469,0.8464,17407.0,2016-08-02,1:20:30:0
EURGBP=R,0.8464,0.8471,0.8464,17408.0,2016-08-02,1:20:30:0
EURGBP=R,0.8466,0.8473,0.8466,17409.0,2016-08-02,1:20:30:0
EURGBP=R,0.8467,0.8473,0.8467,17410.0,2016-08-02,1:20:31:0
EURGBP=R,0.8468,0.8472,0.8468,17411.0,2016-08-02,1:20:31:0
EURGBP=R,0.8467,0.8472,0.8467,17412.0,2016-08-02,1:20:31:0
EURGBP=R,0.8467,0.8472,0.8467,17413.0,2016-08-02,1:20:32:0
EURGBP=R,0.8467,0.8472,0.8467,17414.0,2016-08-02,1:20:32:0
EURGBP=R,0.8467,0.8472,0.8467,17415.0,2016-08-02,1:20:32:0
EURGBP=R,0.8465,0.8472,0.8465,17416.0,2016-08-02,1:20:32:0
EURGBP=R,0.8466,0.8471,0.8466,17417.0,2016-08-02,1:20:32:0
EURGBP=R,0.8466,0.847,0.8466,17418.0,2016-08-02,1:20:32:0
EURGBP=R,0.8466,0.8471,0.8466,17419.0,2016-08-02,1:20:33:0
EURGBP=R,0.8466,0.8471,0.8466,17420.0,2016-08-02,1:20:33:0
EURGBP=R,0.8467,0.8472,0.8467,17421.0,2016-08-02,1:20:34:0
EURGBP=R,0.8466,0.8474,0.8466,17422.0,2016-08-02,1:20:35:0
EURGBP=R,0.8467,0.8472,0.8467,17423.0,2016-08-02,1:20:37:0
EURGBP=R,0.8466,0.8474,0.8466,17424.0,2016-08-02,1:20:38:0
EURGBP=R,0.8466,0.8473,0.8466,17425.0,2016-08-02,1:20:38:0
EURGBP=R,0.8466,0.8473,0.8466,17426.0,2016-08-02,1:20:39:0
EURGBP=R,0.8467,0.8472,0.8467,17427.0,2016-08-02,1:20:43:0
EURGBP=R,0.8467,0.8472,0.8467,17428.0,2016-08-02,1:20:45:0
EURGBP=R,0.8467,0.8472,0.8467,17429.0,2016-08-02,1:20:45:0
EURGBP=R,0.8467,0.8472,0.8467,17430.0,2016-08-02,1:20:46:0
EURGBP=R,0.8467,0.8472,0.8467,17431.0,2016-08-02,1:20:47:0
EURGBP=R,0.8466,0.8474,0.8466,17432.0,2016-08-02,1:20:48:0
EURGBP=R,0.8467,0.8472,0.8467,17433.0,2016-08-02,1:20:49:0
