Symbol,Bid,Ask,Last,Volume,Date,Time
GBP=,1.3184,1.3187,1.3184,8834.0,2016-08-02,1:19:53:0
GBP=,1.3182,1.3188,1.3182,8835.0,2016-08-02,1:19:57:0
GBP=,1.3184,1.3187,1.3184,8836.0,2016-08-02,1:19:57:0
GBP=,1.3185,1.3187,1.3185,8837.0,2016-08-02,1:19:58:0
GBP=,1.3183,1.3187,1.3183,8838.0,2016-08-02,1:20:0:0
GBP=,1.3182,1.3187,1.3182,8839.0,2016-08-02,1:20:0:0
GBP=,1.3184,1.3186,1.3184,8840.0,2016-08-02,1:20:1:0
GBP=,1.3184,1.3189,1.3184,8841.0,2016-08-02,1:20:1:0
GBP=,1.3182,1.3188,1.3182,8842.0,2016-08-02,1:20:2:0
GBP=,1.3183,1.3186,1.3183,8843.0,2016-08-02,1:20:3:0
GBP=,1.3183,1.3186,1.3183,8844.0,2016-08-02,1:20:3:0
GBP=,1.3183,1.3186,1.3183,8845.0,2016-08-02,1:20:6:0
GBP=,1.3182,1.3188,1.3182,8846.0,2016-08-02,1:20:7:0
GBP=,1.3183,1.3188,1.3183,8847.0,2016-08-02,1:20:8:0
GBP=,1.3184,1.3187,1.3184,8848.0,2016-08-02,1:20:11:0
GBP=,1.3184,1.3187,1.3184,8849.0,2016-08-02,1:20:14:0
GBP=,1.3183,1.3187,1.3183,8850.0,2016-08-02,1:20:15:0
GBP=,1.3183,1.3187,1.3183,8851.0,2016-08-02,1:20:16:0
GBP=,1.3183,1.3187,1.3183,8852.0,2016-08-02,1:20:17:0
GBP=,1.3182,1.3188,1.3182,8853.0,2016-08-02,1:20:20:0
GBP=,1.3183,1.3187,1.3183,8854.0,2016-08-02,1:20:21:0
GBP=,1.3183,1.3188,1.3183,8855.0,2016-08-02,1:20:21:0
GBP=,1.3183,1.3187,1.3183,8856.0,2016-08-02,1:20:22:0
GBP=,1.3182,1.3188,1.3182,8857.0,2016-08-02,1:20:23:0
GBP=,1.3183,1.3187,1.3183,8858.0,2016-08-02,1:20:23:0
GBP=,1.3184,1.3187,1.3184,8859.0,2016-08-02,1:20:29:0
GBP=,1.3183,1.3187,1.3183,8860.0,2016-08-02,1:20:30:0
GBP=,1.3181,1.3188,1.3181,8861.0,2016-08-02,1:20:30:0
GBP=,1.3183,1.3186,1.3183,8862.0,2016-08-02,1:20:31:0
GBP=,1.3182,1.3188,1.3182,8863.0,2016-08-02,1:20:32:0
GBP=,1.3184,1.3187,1.3184,8864.0,2016-08-02,1:20:32:0
GBP=,1.3184,1.3187,1.3184,8865.0,2016-08-02,1:20:33:0
GBP=,1.3181,1.3188,1.3181,8866.0,2016-08-02,1:20:35:0
GBP=,1.3183,1.3186,1.3183,8867.0,2016-08-02,1:20:37:0
GBP=,1.3181,1.3188,1.3181,8868.0,2016-08-02,1:20:38:0
GBP=,1.3182,1.3188,1.3182,8869.0,2016-08-02,1:20:38:0
GBP=,1.3183,1.3187,1.3183,8870.0,2016-08-02,1:20:43:0
GBP=,1.3183,1.3187,1.3183,8871.0,2016-08-02,1:20:45:0
GBP=,1.3183,1.3187,1.3183,8872.0,2016-08-02,1:20:45:0
GBP=,1.3184,1.3187,1.3184,8873.0,2016-08-02,1:20:46:0
GBP=,1.3184,1.3187,1.3184,8874.0,2016-08-02,1:20:47:0
GBP=,1.3181,1.3188,1.3181,8875.0,2016-08-02,1:20:48:0
GBP=,1.3183,1.3186,1.3183,8876.0,2016-08-02,1:20:49:0
GBP=,1.3181,1.3188,1.3181,8877.0,2016-08-02,1:20:50:0
GBP=,1.3181,1.3188,1.3181,8878.0,2016-08-02,1:20:54:0
GBP=,1.3182,1.3188,1.3182,8879.0,2016-08-02,1:20:56:0
GBP=,1.3183,1.3187,1.3183,8880.0,2016-08-02,1:20:57:0
GBP=,1.3181,1.3188,1.3181,8881.0,2016-08-02,1:20:57:0
