Symbol,Bid,Ask,Last,Volume,Date,Time
GBPJPY=,134.99,135.01,134.99,5119.0,2016-08-02,1:19:56:0
GBPJPY=,134.98,135.03,134.98,5120.0,2016-08-02,1:19:57:0
GBPJPY=,134.97,135.02,134.97,5121.0,2016-08-02,1:19:58:0
GBPJPY=,134.97,135.09,134.97,5122.0,2016-08-02,1:20:0:0
GBPJPY=,134.97,135.02,134.97,5123.0,2016-08-02,1:20:1:0
GBPJPY=,134.97,135.02,134.97,5124.0,2016-08-02,1:20:5:0
GBPJPY=,134.98,135.03,134.98,5125.0,2016-08-02,1:20:18:0
GBPJPY=,134.97,135.02,134.97,5126.0,2016-08-02,1:20:19:0
GBPJPY=,134.99,135.04,134.99,5127.0,2016-08-02,1:20:20:0
GBPJPY=,134.99,135.04,134.99,5128.0,2016-08-02,1:20:21:0
GBPJPY=,135.01,135.03,135.01,5129.0,2016-08-02,1:20:22:0
GBPJPY=,135.0,135.03,135.0,5130.0,2016-08-02,1:20:24:0
GBPJPY=,134.99,135.04,134.99,5131.0,2016-08-02,1:20:25:0
GBPJPY=,135.01,135.03,135.01,5132.0,2016-08-02,1:20:27:0
GBPJPY=,135.0,135.05,135.0,5133.0,2016-08-02,1:20:29:0
GBPJPY=,135.02,135.04,135.02,5134.0,2016-08-02,1:20:30:0
GBPJPY=,135.0,135.05,135.0,5135.0,2016-08-02,1:20:33:0
GBPJPY=,135.01,135.04,135.01,5136.0,2016-08-02,1:20:36:0
GBPJPY=,135.0,135.05,135.0,5137.0,2016-08-02,1:20:37:0
GBPJPY=,135.02,135.05,135.02,5138.0,2016-08-02,1:20:40:0
GBPJPY=,135.02,135.07,135.02,5139.0,2016-08-02,1:20:41:0
GBPJPY=,135.03,135.05,135.03,5140.0,2016-08-02,1:20:42:0
GBPJPY=,135.02,135.07,135.02,5141.0,2016-08-02,1:20:45:0
GBPJPY=,134.96,135.1,134.96,5142.0,2016-08-02,1:20:45:0
GBPJPY=,135.03,135.06,135.03,5143.0,2016-08-02,1:20:48:0
GBPJPY=,135.02,135.07,135.02,5144.0,2016-08-02,1:20:49:0
GBPJPY=,135.05,135.08,135.05,5145.0,2016-08-02,1:20:52:0
GBPJPY=,135.05,135.1,135.05,5146.0,2016-08-02,1:20:53:0
GBPJPY=,135.04,135.09,135.04,5147.0,2016-08-02,1:20:57:0
GBPJPY=,135.07,135.1,135.07,5148.0,2016-08-02,1:20:58:0
GBPJPY=,135.01,135.15,135.01,5149.0,2016-08-02,1:21:0:0
GBPJPY=,135.06,135.11,135.06,5150.0,2016-08-02,1:21:1:0
GBPJPY=,135.08,135.11,135.08,5151.0,2016-08-02,1:21:2:0
GBPJPY=,135.08,135.13,135.08,5152.0,2016-08-02,1:21:5:0
GBPJPY=,135.09,135.12,135.09,5153.0,2016-08-02,1:21:5:0
GBPJPY=,135.09,135.11,135.09,5154.0,2016-08-02,1:21:8:0
GBPJPY=,135.08,135.13,135.08,5155.0,2016-08-02,1:21:9:0
GBPJPY=,135.08,135.11,135.08,5156.0,2016-08-02,1:21:11:0
GBPJPY=,135.08,135.13,135.08,5157.0,2016-08-02,1:21:13:0
GBPJPY=,135.02,135.16,135.02,5158.0,2016-08-02,1:21:15:0
GBPJPY=,135.07,135.12,135.07,5159.0,2016-08-02,1:21:17:0
GBPJPY=,135.07,135.1,135.07,5160.0,2016-08-02,1:21:21:0
GBPJPY=,135.07,135.12,135.07,5161.0,2016-08-02,1:21:21:0
GBPJPY=,135.08,135.11,135.08,5162.0,2016-08-02,1:21:23:0
GBPJPY=,135.07,135.12,135.07,5163.0,2016-08-02,1:21:25:0
GBPJPY=,135.07,135.12,135.07,5164.0,2016-08-02,1:21:29:0
GBPJPY=,135.07,135.2,135.07,5165.0,2016-08-02,1:21:30:0
GBPJPY=,135.07,135.12,135.07,5166.0,2016-08-02,1:21:33:0
GBPJPY=,135.07,135.12,135.07,5167.0,2016-08-02,1:21:37:0
GBPJPY=,135.07,135.12,135.07,5168.0,2016-08-02,1:21:43:0
GBPJPY=,135.07,135.12,135.07,5169.0,2016-08-02,1:21:45:0
GBPJPY=,135.03,135.17,135.03,5170.0,2016-08-02,1:21:45:0
GBPJPY=,135.07,135.1,135.07,5171.0,2016-08-02,1:21:48:0
GBPJPY=,135.06,135.11,135.06,5172.0,2016-08-02,1:21:50:0
GBPJPY=,135.06,135.11,135.06,5173.0,2016-08-02,1:21:54:0
GBPJPY=,135.06,135.11,135.06,5174.0,2016-08-02,1:21:57:0
GBPJPY=,135.08,135.11,135.08,5175.0,2016-08-02,1:21:58:0
GBPJPY=,135.02,135.19,135.02,5176.0,2016-08-02,1:22:0:0
GBPJPY=,135.07,135.1,135.07,5177.0,2016-08-02,1:22:0:0
GBPJPY=,135.06,135.11,135.06,5178.0,2016-08-02,1:22:1:0
GBPJPY=,135.07,135.09,135.07,5179.0,2016-08-02,1:22:3:0
GBPJPY=,135.05,135.1,135.05,5180.0,2016-08-02,1:22:5:0
GBPJPY=,135.06,135.08,135.06,5181.0,2016-08-02,1:22:6:0
GBPJPY=,135.05,135.1,135.05,5182.0,2016-08-02,1:22:9:0
GBPJPY=,135.05,135.08,135.05,5183.0,2016-08-02,1:22:9:0
GBPJPY=,135.07,135.1,135.07,5184.0,2016-08-02,1:22:12:0
GBPJPY=,135.06,135.11,135.06,5185.0,2016-08-02,1:22:13:0
GBPJPY=,135.06,135.1,135.06,5186.0,2016-08-02,1:22:15:0
GBPJPY=,135.05,135.1,135.05,5187.0,2016-08-02,1:22:17:0
GBPJPY=,135.0,135.14,135.0,5188.0,2016-08-02,1:22:17:0
GBPJPY=,135.06,135.09,135.06,5189.0,2016-08-02,1:22:18:0
GBPJPY=,135.06,135.11,135.06,5190.0,2016-08-02,1:22:21:0
GBPJPY=,135.07,135.09,135.07,5191.0,2016-08-02,1:22:21:0
GBPJPY=,135.07,135.1,135.07,5192.0,2016-08-02,1:22:24:0
GBPJPY=,135.06,135.11,135.06,5193.0,2016-08-02,1:22:26:0
GBPJPY=,135.06,135.09,135.06,5194.0,2016-08-02,1:22:27:0
GBPJPY=,135.01,135.18,135.01,5195.0,2016-08-02,1:22:30:0
GBPJPY=,135.06,135.11,135.06,5196.0,2016-08-02,1:22:33:0
GBPJPY=,135.07,135.09,135.07,5197.0,2016-08-02,1:22:34:0
GBPJPY=,135.05,135.1,135.05,5198.0,2016-08-02,1:22:37:0
GBPJPY=,135.06,135.09,135.06,5199.0,2016-08-02,1:22:37:0
GBPJPY=,135.05,135.1,135.05,5200.0,2016-08-02,1:22:38:0
